zonas_geografica_nombre,marca_nombre,combustible_precio,id_regional
Metropolitana,COPEC,1322.0,1
Metropolitana,COPEC,1323.0,1
Metropolitana,COPEC,1324.0,1
Metropolitana,COPEC,1324.0,1
Metropolitana,COPEC,1326.0,1
Metropolitana,COPEC,1326.0,1
Metropolitana,COPEC,1327.0,1
Metropolitana,COPEC,1328.0,1
Metropolitana,COPEC,1328.0,1
Metropolitana,COPEC,1329.0,1
Metropolitana,COPEC,1330.0,1
Metropolitana,COPEC,1330.0,1
Metropolitana,COPEC,1330.0,1
Metropolitana,COPEC,1331.0,1
Metropolitana,COPEC,1333.0,1
Metropolitana,COPEC,1334.0,1
Metropolitana,COPEC,1334.0,1
Metropolitana,COPEC,1335.0,1
Metropolitana,COPEC,1335.0,1
Metropolitana,COPEC,1335.0,1
Metropolitana,COPEC,1335.0,1
Metropolitana,COPEC,1335.0,1
Metropolitana,COPEC,1335.0,1
Metropolitana,COPEC,1335.0,1
Metropolitana,COPEC,1335.0,1
Metropolitana,COPEC,1335.0,1
Metropolitana,COPEC,1336.0,1
Metropolitana,COPEC,1337.0,1
Metropolitana,COPEC,1337.0,1
Metropolitana,COPEC,1337.0,1
Metropolitana,COPEC,1337.0,1
Metropolitana,COPEC,1337.0,1
Metropolitana,COPEC,1337.0,1
Metropolitana,COPEC,1339.0,1
Metropolitana,COPEC,1340.0,1
Metropolitana,COPEC,1340.0,1
Metropolitana,COPEC,1341.0,1
Metropolitana,COPEC,1341.0,1
Metropolitana,COPEC,1342.0,1
Metropolitana,COPEC,1343.0,1
Metropolitana,COPEC,1344.0,1
Metropolitana,COPEC,1344.0,1
Metropolitana,COPEC,1344.0,1
Metropolitana,COPEC,1345.0,1
Metropolitana,COPEC,1345.0,1
Metropolitana,COPEC,1346.0,1
Metropolitana,COPEC,1346.0,1
Metropolitana,COPEC,1346.0,1
Metropolitana,COPEC,1346.0,1
Metropolitana,COPEC,1346.0,1
Metropolitana,COPEC,1349.0,1
Metropolitana,COPEC,1349.0,1
Metropolitana,COPEC,1350.0,1
Metropolitana,COPEC,1350.0,1
Metropolitana,COPEC,1350.0,1
Metropolitana,COPEC,1350.0,1
Metropolitana,COPEC,1350.0,1
Metropolitana,COPEC,1351.0,1
Metropolitana,COPEC,1351.0,1
Metropolitana,COPEC,1351.0,1
Metropolitana,COPEC,1352.0,1
Metropolitana,COPEC,1352.0,1
Metropolitana,COPEC,1353.0,1
Metropolitana,COPEC,1354.0,1
Metropolitana,COPEC,1354.0,1
Metropolitana,COPEC,1354.0,1
Metropolitana,COPEC,1355.0,1
Metropolitana,COPEC,1357.0,1
Metropolitana,COPEC,1357.0,1
Metropolitana,COPEC,1357.0,1
Metropolitana,COPEC,1357.0,1
Metropolitana,COPEC,1361.0,1
Metropolitana,COPEC,1361.0,1
Metropolitana,COPEC,1361.0,1
Metropolitana,COPEC,1362.0,1
Metropolitana,COPEC,1365.0,1
Metropolitana,COPEC,1366.0,1
Metropolitana,COPEC,1366.0,1
Metropolitana,COPEC,1367.0,1
Metropolitana,COPEC,1367.0,1
Metropolitana,COPEC,1369.0,1
Metropolitana,COPEC,1369.0,1
Metropolitana,COPEC,1369.0,1
Metropolitana,COPEC,1369.0,1
Metropolitana,COPEC,1369.0,1
Metropolitana,COPEC,1371.0,1
Metropolitana,COPEC,1371.0,1
Metropolitana,COPEC,1371.0,1
Metropolitana,COPEC,1371.0,1
Metropolitana,COPEC,1372.0,1
Metropolitana,COPEC,1374.0,1
Metropolitana,COPEC,1374.0,1
Metropolitana,COPEC,1375.0,1
Metropolitana,COPEC,1376.0,1
Metropolitana,COPEC,1376.0,1
Metropolitana,COPEC,1377.0,1
Metropolitana,COPEC,1378.0,1
Metropolitana,COPEC,1378.0,1
Metropolitana,COPEC,1379.0,1
Metropolitana,COPEC,1379.0,1
Metropolitana,COPEC,1379.0,1
Metropolitana,COPEC,1379.0,1
Metropolitana,COPEC,1379.0,1
Metropolitana,COPEC,1379.0,1
Metropolitana,COPEC,1379.0,1
Metropolitana,COPEC,1379.0,1
Metropolitana,COPEC,1379.0,1
Metropolitana,COPEC,1379.0,1
Metropolitana,COPEC,1379.0,1
Metropolitana,COPEC,1379.0,1
Metropolitana,COPEC,1380.0,1
Metropolitana,COPEC,1380.0,1
Metropolitana,COPEC,1380.0,1
Metropolitana,COPEC,1380.0,1
Metropolitana,COPEC,1380.0,1
Metropolitana,COPEC,1380.0,1
Metropolitana,COPEC,1380.0,1
Metropolitana,COPEC,1380.0,1
Metropolitana,COPEC,1380.0,1
Metropolitana,COPEC,1380.0,1
Metropolitana,COPEC,1380.0,1
Metropolitana,COPEC,1381.0,1
Metropolitana,COPEC,1381.0,1
Metropolitana,COPEC,1381.0,1
Metropolitana,COPEC,1381.0,1
